// Reference=MNI
// Dade L A, 2001: Odor Working Memory - Baseline
// Subjects=12
-30	53	6
28	57	0
-27	30	-17
32	44	-18
-40	12	33
39	36	32
-51	34	-9
-12	32	30
-15	6	53
0	17	57
21	12	56
27	-4	59
-30	-23	59
-28	18	6
-44	-54	50
-28	-57	47
43	-54	48
8	-69	51

// Dade L A, 2001: Face Working Memory - Baseline
// Subjects=12
-35	51	3
34	56	-2
-28	49	16
-39	5	45
-42	20	36
38	34	41
-46	41	-11
-32	27	5
8	20	50
1	-28	24
11	30	32
16	39	18
-8	6	62
17	12	56
31	3	60
-32	-25	60
-5	-26	59
-62	-33	-8
66	-35	-11
-13	-35	66
-40	-47	44
-5	-64	48
40	-56	50
7	-68	47

// Dade L A, 2001: Conjunction Analysis
// Subjects=12
-34	51	5
28	56	-2
-42	10	41
-41	20	35
40	36	32
-47	39	-11
-35	-52	48
-44	-54	50
40	-56	50
8	-69	51

// Owen A M, 1998: Spatial Working Memory vs. Control
// Subjects=6
50.73	-32.92	46.06
34.73	-39.36	46.79
24.03	-56.06	38.27
14.53	-61.43	52.22
23.89	1.81	43.46
44.14	14.62	42.15
7.62	36.64	27.34
-37.94	-39.8	47.66
-61.83	-43.88	-3.02
-38.18	10.45	36.76
-17.63	9.79	67.8
1.51	15.48	57.07

// Owen A M, 1998: Nonspatial Working Memory vs. Control
// Subjects=6
33.81	13.8	-50.22
61	-33.88	-8.62
50.54	-38.23	18.63
23.89	1.81	43.46
44.15	18.05	45.21
-32.45	16.58	-49.69
-35.24	-51.6	-22.75
-58.7	-51.23	-15.83
-41.38	10.43	36.8
-4.92	12.01	54.09

// Sevostianov A, 2002: Pictures > Words
// Subjects=14
-30.88	-77.04	-21.79
-28.81	-58	-23.41
-18	-17.12	8.73
-20.34	-69.72	-38.13
43.93	-69.91	-18.78
33.17	-48.82	-20.43
44.03	-66.76	-5.67
33.53	-89.06	9.71

// Sevostianov A, 2002: Words > Pictures
// Subjects=14
-56.64	-14.67	-11.11
-45.89	-27.12	-7.96
-58.54	-21.08	16.22
63.12	-15.38	-3.5

// Sevostianov A, 2002: Mixed > (Pictures and Words)
// Subjects=14
-36.92	-.78	56.64
-41.44	27.43	36.49
1.39	37.34	50.77
-45.83	-70.44	-17.71
-48.09	-60.74	-29.65
31.48	1.92	57.86
52.41	-59.62	-24.2
63.13	-26.3	-7.05

// Pochon J B, 2001: MAT vs. MAT CONT
// Subjects=8
27	3	51
30	-51	54
-24	-51	60
-45	-39	45
27	-63	39

// Pochon J B, 2002: Positive Reward Effect
// Subjects=6
3	-75	18
0	57	0
-15	63	9
-54	-57	-18
15	-63	27
57	-42	-12
15	3	24
-18	9	24
33	-27	-18
-3	24	33
-63	-9	12
-39	54	12
21	-66	39
48	-51	-21
-54	-60	-15
24	48	0
-48	42	15
-60	12	27
-3	27	33
