// Reference=MNI
// Calarge C, 2003: Theory of Mind vs. Control
// Subjects=13
0.91	48.84	-7.06
6.41	37.38	9.45
-19.92	15.9	50.59
-14.79	36.76	30.94
-17.09	47.18	14.48
-35.38	16.13	-13.94
-7.06	-55.07	26.28
-46.17	-1.51	-34.64
-49.75	-64.67	29.81
-48.07	-78.17	-34.88
-2.07	-58.64	-20.32
32.19	-85.29	-24.05
7.67	-57.38	-4.92

// Sommer M, 2007: Conjunction of True and False Belief
// Subjects=16
-22	8	66
-42	32	28
-52	14	0
-52	-50	48
56	-50	42
-6	-72	56
-2	-90	14

// Sommer M, 2007: False Belief > True Belief
// Subjects=16
-8	16	46
42	4	58
46	28	40
34	64	6
34	-54	24
64	-54	-4
38	-64	46
4	-74	52

// Sommer M, 2007: True Belief > False Belief
// Subjects=16
0	56	26

// Kobayashi C, 2007: Cartoon > Story
// Subjects=12
60	24	21
62	-54	3
26	-95	-4
-12	-86	-6
4	56	23

// Kobayashi C, 2007: Story > Cartoon
// Subjects=12
-16	-4	-10

// Kobayashi C, 2007: ToM > Non-ToM
// Subjects=12
38	40	31
52	-30	32
14	-94	21
64	-49	26
-63	-47	23

// Kobayashi C, 2007: Story > Cartoon, ToM > Non-ToM
// Subjects=12
-61	-6	-3
50	-9	-12

// Kobayashi C, 2007: AcCs > AsCc
// Subjects=12
-14	-2	-5
40	36	-15
42	11	-9

// Kobayashi C, 2007: AsCc > AcCs
// Subjects=12
-65	-34	1

// Kobayashi C, 2007: [AsCc > AcCs(T)] >> [AcCc > AsCs(N)]
// Subjects=12
-42	-55	21

// Kobayashi C, 2007: [AsCc > AcCs(T)] >> [AcCs > AsCc(N)]
// Subjects=12
61	-52	17

// Kobayashi C, 2007: [AcCs > AsCc(T)] >> [AcCs > AsCc(N)]
// Subjects=12
-34	5	-17

// Kobayashi C, 2007: [AsCc > AcCs(T)] >> [AcCcCs > As(N)]
// Subjects=12
-57	20	17

// Ruby P, 2003: Third-Person Perspective - First-Person Perspective
// Subjects=10
-24	50	-6
0	20	70
10	24	56
-8	40	52
24	48	42
-4	68	-12
-52	12	4
44	-70	36
-38	-62	20
72	-18	-12
-54	-14	-10
-60	-34	-10
-52	-4	-38

// Ruby P, 2003: First-Person Perspective - Third-Person Perspective
// Subjects=10
-20	-54	60
54	-16	32
58	-22	18
-18	-68	16
50	-30	6
30	-70	-14
50	-76	4

// Brune M, 2008: ToM vs. Non ToM, Normals
// Subjects=13
-2	6	20
38	-22	24
-58	-40	16
-56	-68	18
-50	-32	0
62	-6	-16
60	-64	6
46	-70	10
-6	-54	36
34	10	34
40	20	-20
-10	18	16
24	-26	26
4	-28	0

// Brunet E, 2003: Intersection of (AI - PCCH) and (AI - PCOb), Normals
// Subjects=8
34	22	-20
20	48	20

// Brunet E, 2003: Intersection of (AI - PCOb) and (PCCh - PCOb), Normals
// Subjects=8
56	-74	0
46	-78	-10
42	-50	-18
16	-102	6
58	-52	18
54	8	-28
-12	24	-12
-14	-42	22

// Fossati P, 2003: Self Referential vs. Letter Recognition
// Subjects=10
11.7	54.42	9.08
-15.95	45.67	22.4
-13.47	-24.3	39.39

// Fossati P, 2003: Self and Other Referential vs. Letter Recognition
// Subjects=10
18.54	14.98	49.11
-21.92	-9.06	58.28
-21	28.92	53.97
11.31	-40.76	58.33

// Fossati P, 2003: Self Referential vs. Letter Recognition, Positive vs. 
// Negative Words
// Subjects=10
8.39	58.83	-2.41
-10.75	54.11	7.13
51.5	-10.74	16.31
-42.61	-16.47	5.61
-52.19	-35.9	2.89
-53.96	-72.81	35
-42.41	-63.8	12.92
19.59	-84.12	6.11
-13.63	-69.85	0.83

// Gobbini M I, 2007: False Belief Stories vs. Physical Stories, Activations
// Subjects=12
-2.23	58.31	5.57
7.58	58.13	30
11.57	62.9	-5.02
-21.26	53.73	30.7
39.35	22.4	-22.01
11.06	29.2	54.69
-55.13	-59.5	28.32
38.17	13.54	-40.21
-52.61	11.31	-33.41
-35.28	-28.97	-19.08
6.76	-13.95	33.83
-10.21	-49.03	35.85

